"Statistic","Year","Make and Model","UNIT","VALUE"
"New Private Cars Licensed for the First Time Rank","2020","Mercedes Benz B Class","Number","141"
"New Private Cars Licensed for the First Time Rank","2020","Mercedes Benz CLS","Number","136"
"New Private Cars Licensed for the First Time Rank","2020","Mercedes Benz A Class","Number","50"
"New Private Cars Licensed for the First Time Rank","2020","Mercedes Benz CLA","Number","57"
"New Private Cars Licensed for the First Time Rank","2020","Mercedes Benz GLA","Number","125"
"New Private Cars Licensed for the First Time Rank","2020","Mercedes Benz GLE","Number","104"
"New Private Cars Licensed for the First Time Rank","2020","Mercedes Benz GLC","Number","63"
"New Private Cars Licensed for the First Time Rank","2020","Mercedes Benz EQC","Number","182"
"New Private Cars Licensed for the First Time Rank","2020","Mini","Number","60"
"New Private Cars Licensed for the First Time Rank","2020","Mitsubishi Lancer","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Mitsubishi Spacestar","Number","133"
"New Private Cars Licensed for the First Time Rank","2020","Mitsubishi Outlander","Number","91"
"New Private Cars Licensed for the First Time Rank","2020","Mitsubishi ASX","Number","144"
"New Private Cars Licensed for the First Time Rank","2020","Mitsubishi Eclipse Cross","Number","170"
"New Private Cars Licensed for the First Time Rank","2020","Nissan Micra","Number","24"
"New Private Cars Licensed for the First Time Rank","2020","Nissan Pulsar","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Nissan X-Trail","Number","67"
"New Private Cars Licensed for the First Time Rank","2020","Nissan Note","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Nissan Qashqai","Number","9"
"New Private Cars Licensed for the First Time Rank","2020","Nissan Juke","Number","19"
